Section,weight,d,bf ,tf,tw,r1,d1,notsure,alsonotsure,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange fy,web fy,k,Compactness,Zex,Compactness,Zey,fMsx
150UB14.0,14.0,150,75,7.0 ,5.0 ,8.0 ,136,27.2,5.00 ,1780,6.66 ,88.8,102,61.1 ,0.495 ,13.2 ,20.8 ,16.6 ,28.1 ,2.53 ,320,320,1.000 ,C,102,C,19.8 ,29.4 
150UB18.0,18.0,155,75,9.5 ,6.0 ,8.0 ,136,22.7,3.63 ,2300,9.05 ,117,135,62.8 ,0.672 ,17.9 ,28.2 ,17.1 ,60.5 ,3.56 ,320,320,1.000 ,C,135,C,26.9 ,38.9 
180UB16.1,16.1,173,90,7.0 ,4.5 ,8.9 ,159,35.3,6.11 ,2040,10.60 ,123,138,72.0 ,0.853 ,19.0 ,29.4 ,20.4 ,31.5 ,5.88 ,320,320,1.000 ,C,138,C,28.4 ,39.7 
180UB18.1,18.1,175,90,8.0 ,5.0 ,8.9 ,159,31.8,5.31 ,2300,12.10 ,139,157,72.6 ,0.975 ,21.7 ,33.7 ,20.6 ,44.8 ,6.80 ,320,320,1.000 ,C,157,C,32.5 ,45.2 
180UB22.2,22.2,179,90,10.0 ,6.0 ,8.9 ,159,26.5,4.20 ,2820,15.30 ,171,195,73.6 ,1.220 ,27.1 ,42.3 ,20.8 ,81.6 ,8.71 ,320,320,1.000 ,C,195,C,40.7 ,56.2 
200UB18.2,18.2,198,99,7.0 ,4.5 ,11.0 ,184,40.9,6.75 ,2320,15.80 ,160,180,82.6 ,1.140 ,23.0 ,35.7 ,22.1 ,38.6 ,10.40 ,320,320,0.990 ,C,180,C,34.4 ,51.8 
200UB22.3,22.3,202,133,7.0 ,5.0 ,8.9 ,188,37.5,9.14 ,2870,21.00 ,208,231,85.5 ,2.750 ,41.3 ,63.4 ,31.0 ,45.0 ,26.00 ,320,320,1.000 ,N,227,N,60.3 ,65.4 
200UB25.4,25.4,203,133,7.8 ,5.8 ,8.9 ,188,32.3,8.15 ,3230,23.60 ,232,260,85.4 ,3.060 ,46.1 ,70.9 ,30.8 ,62.7 ,29.20 ,320,320,1.000 ,N,259,N,68.8 ,74.6 
200UB29.8,29.8,207,134,9.6 ,6.3 ,8.9 ,188,29.8,6.65 ,3820,29.10 ,281,316,87.3 ,3.860 ,57.5 ,88.4 ,31.8 ,105.0 ,37.60 ,320,320,1.000 ,C,316,C,86.3 ,91.0 
250UB25.7,25.7,248,124,8.0 ,5.0 ,12.0 ,232,46.4,7.44 ,3270,35.40 ,285,319,104.0 ,2.550 ,41.1 ,63.6 ,27.9 ,67.4 ,36.70 ,320,320,0.949 ,C,319,C,61.7 ,91.9 
250UB31.4,31.4,252,146,8.6 ,6.1 ,8.9 ,234,38.4,8.13 ,4010,44.50 ,354,397,105.0 ,4.470 ,61.2 ,94.2 ,33.4 ,89.3 ,65.90 ,320,320,1.000 ,N,395,N,91.4 ,113.8 
250UB37.3,37.3,256,146,10.9 ,6.4 ,8.9 ,234,36.6,6.40 ,4750,55.70 ,435,486,108.0 ,5.660 ,77.5 ,119.0 ,34.5 ,158.0 ,85.20 ,320,320,1.000 ,C,486,C,116.0 ,140.0 
310UB32.0,32.0,298,149,8.0 ,5.5 ,13.0 ,282,51.3,8.97 ,4080,63.20 ,424,475,124.0 ,4.420 ,59.3 ,91.8 ,32.9 ,86.5 ,92.90 ,320,320,0.915 ,N,467,N,86.9 ,134.5 
310UB40.4,40.4,304,165,10.2 ,6.1 ,11.4 ,284,46.5,7.79 ,5210,86.40 ,569,633,129.0 ,7.650 ,92.7 ,142.0 ,38.3 ,157.0 ,165.00 ,320,320,0.952 ,C,633,C,139.0 ,182.3 
310UB46.2,46.2,307,166,11.8 ,6.7 ,11.4 ,284,42.3,6.75 ,5930,100.00 ,654,729,130.0 ,9.010 ,109.0 ,166.0 ,39.0 ,233.0 ,197.00 ,300,320,0.991 ,C,729,C,163.0 ,196.8 
360UB44.7,44.7,352,171,9.7 ,6.9 ,11.4 ,333,48.2,8.46 ,5720,121.00 ,689,777,146.0 ,8.100 ,94.7 ,146.0 ,37.6 ,161.0 ,237.00 ,320,320,0.930 ,N,770,N,140.0 ,221.8 
360UB50.7,50.7,356,171,11.5 ,7.3 ,11.4 ,333,45.6,7.12 ,6470,142.00 ,798,897,148.0 ,9.600 ,112.0 ,173.0 ,38.5 ,241.0 ,284.00 ,300,320,0.963 ,C,897,C,168.0 ,242.2 
360UB56.7,56.7,359,172,13.0 ,8.0 ,11.4 ,333,41.6,6.31 ,7240,161.00 ,899,1010,149.0 ,11.000 ,128.0 ,198.0 ,39.0 ,338.0 ,330.00 ,300,320,0.996 ,C,1010,C,193.0 ,272.7 
410UB53.7,53.7,403,178,10.9 ,7.6 ,11.4 ,381,50.1,7.82 ,6890,188.00 ,933,1060,165.0 ,10.300 ,115.0 ,179.0 ,38.6 ,234.0 ,394.00 ,320,320,0.913 ,C,1060,C,173.0 ,305.3 
410UB59.7,59.7,406,178,12.8 ,7.8 ,11.4 ,381,48.8,6.65 ,7640,216.00 ,1060,1200,168.0 ,12.100 ,135.0 ,209.0 ,39.7 ,337.0 ,467.00 ,300,320,0.938 ,C,1200,C,203.0 ,324.0 
460UB67.1,67.1,454,190,12.7 ,8.5 ,11.4 ,428,50.4,7.15 ,8580,296.00 ,1300,1480,186.0 ,14.500 ,153.0 ,238.0 ,41.2 ,378.0 ,708.00 ,300,320,0.922 ,C,1480,C,230.0 ,399.6 
460UB74.6,74.6,457,190,14.5 ,9.1 ,11.4 ,428,47.1,6.24 ,9520,335.00 ,1460,1660,188.0 ,16.600 ,175.0 ,271.0 ,41.8 ,530.0 ,815.00 ,300,320,0.948 ,C,1660,C,262.0 ,448.2 
460UB82.1,82.1,460,191,16.0 ,9.9 ,11.4 ,428,43.3,5.66 ,10500,372.00 ,1610,1840,188.0 ,18.600 ,195.0 ,303.0 ,42.2 ,701.0 ,919.00 ,300,320,0.979 ,C,1840,C,292.0 ,496.8 
530UB82.0,82.0,528,209,13.2 ,9.6 ,14.0 ,502,52.3,7.55 ,10500,477.00 ,1810,2070,213.0 ,20.100 ,193.0 ,301.0 ,43.8 ,526.0 ,1330.00 ,300,320,0.902 ,C,2070,C,289.0 ,558.9 
530UB92.4,92.4,533,209,15.6 ,10.2 ,14.0 ,502,49.2,6.37 ,11800,554.00 ,2080,2370,217.0 ,23.800 ,228.0 ,355.0 ,44.9 ,775.0 ,1590.00 ,300,320,0.928 ,C,2370,C,342.0 ,639.9 
610UB101,101.0,602,228,14.8 ,10.6 ,14.0 ,572,54,7.34 ,13000,761.00 ,2530,2900,242.0 ,29.300 ,257.0 ,402.0 ,47.5 ,790.0 ,2530.00 ,300,320,0.888 ,C,2900,C,386.0 ,783.0 
610UB113,113.0,607,228,17.3 ,11.2 ,14.0 ,572,51.1,6.27 ,14500,875.00 ,2880,3290,246.0 ,34.300 ,300.0 ,469.0 ,48.7 ,1140.0 ,2980.00 ,280,300,0.926 ,C,3290,C,451.0 ,829.1 
610UB125,125.0,612,229,19.6 ,11.9 ,14.0 ,572,48.1,5.54 ,16000,986.00 ,3230,3680,249.0 ,39.300 ,343.0 ,536.0 ,49.6 ,1560.0 ,3450.00 ,280,300,0.950 ,C,3680,C,515.0 ,927.4 