Section,kg/m,d,bf ,tf,tw,r1,d1,,,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange fy,web fy,k,Compactness,Zex,Compactness,Zey,fMsx
100UC14.8,14.8,97,99,7.0 ,5.0 ,10.0 ,83,16.6 ,6.71 ,1890,3.18 ,65.6 ,74.4 ,41.1 ,1.14 ,22.9 ,35.2 ,24.5 ,34.9 ,2.3 ,320,320,1,C,74.4 ,C,34.4 ,21.4 
150UC23.4,23.4,152,152,6.8 ,6.1 ,8.9 ,139,22.8 ,10.70 ,2980,12.60 ,166.0 ,184.0 ,65.1 ,3.98 ,52.4 ,80.2 ,36.6 ,50.2 ,21.1 ,320,320,1,N,176.0 ,N,73.5 ,50.7 
150UC30.0,30.0,158,153,9.4 ,6.6 ,8.9 ,139,21.0 ,7.79 ,3860,17.60 ,223.0 ,250.0 ,67.5 ,5.62 ,73.4 ,112.0 ,38.1 ,109.0 ,30.8 ,320,320,1,C,250.0 ,C,110.0 ,72.0 
150UC37.2,37.2,162,154,11.5 ,8.1 ,8.9 ,139,17.1 ,6.34 ,4730,22.20 ,274.0 ,310.0 ,68.4 ,7.01 ,91.0 ,139.0 ,38.5 ,197.0 ,39.6 ,300,320,1,C,310.0 ,C,137.0 ,83.7 
200UC46.2,46.2,203,203,11.0 ,7.3 ,11.4 ,181,24.8 ,8.90 ,5900,45.90 ,451.0 ,500.0 ,88.2 ,15.30 ,151.0 ,230.0 ,51.0 ,228.0 ,142.0 ,300,320,1,N,494.0 ,N,223.0 ,133.4 
200UC52.2,52.2,206,204,12.5 ,8.0 ,11.4 ,181,22.7 ,7.84 ,6660,52.80 ,512.0 ,570.0 ,89.1 ,17.70 ,174.0 ,264.0 ,51.5 ,325.0 ,166.0 ,300,320,1,C,570.0 ,C,260.0 ,153.9 
200UC59.5,59.3,210,205,14.2 ,9.3 ,11.4 ,181,19.5 ,6.89 ,7620,61.30 ,584.0 ,656.0 ,89.7 ,20.40 ,199.0 ,303.0 ,51.7 ,477.0 ,195.0 ,300,320,1,C,656.0 ,C,299.0 ,177.1 
250UC72.9,72.9,254,254,14.2 ,8.6 ,14.0 ,225,26.2 ,8.64 ,9320,114.00 ,897.0 ,992.0 ,111.0 ,38.80 ,306.0 ,463.0 ,64.5 ,586.0 ,557.0 ,300,320,1,N,986.0 ,N,454.0 ,266.2 
250UC89.5,89.5,260,256,17.3 ,10.5 ,14.0 ,225,21.5 ,7.10 ,11400,143.00 ,1100.0 ,1230.0 ,112.0 ,48.40 ,378.0 ,575.0 ,65.2 ,1040.0 ,713.0 ,280,320,1,C,1230.0 ,C,567.0 ,310.0 
310UC96.8,96.8,308,305,15.4 ,9.9 ,16.5 ,277,28.0 ,9.58 ,12400,223.00 ,1450.0 ,1600.0 ,134.0 ,72.90 ,478.0 ,725.0 ,76.7 ,928.0 ,1560.0 ,300,320,1,N,1560.0 ,N,694.0 ,421.2 
310UC118,118.0,315,307,18.7 ,11.9 ,16.5 ,277,23.3 ,7.89 ,15000,277.00 ,1760.0 ,1960.0 ,136.0 ,90.20 ,588.0 ,893.0 ,77.5 ,1630.0 ,1980.0 ,280,300,1,C,1960.0 ,C,882.0 ,493.9 
310UC137,137.0,321,309,21.7 ,13.8 ,16.5 ,277,20.1 ,6.80 ,17500,329.00 ,2050.0 ,2300.0 ,137.0 ,107.00 ,691.0 ,1050.0 ,78.2 ,2520.0 ,2390.0 ,280,300,1,C,2300.0 ,C,1040.0 ,579.6 
310UC158,158.0,327,311,25.0 ,15.7 ,16.5 ,277,17.7 ,5.91 ,20100,388.00 ,2370.0 ,2680.0 ,139.0 ,125.00 ,807.0 ,1230.0 ,78.9 ,3810.0 ,2860.0 ,280,300,1,C,2680.0 ,C,1210.0 ,675.4 